status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
232633627068_10151502124392069,"浪子回頭金不換，同學，給你一個大大的讚！

叛逆男念心理 助人走回正途
http://www.appledaily.com.tw/appledaily/article/headline/20130303/34863482",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151502124392069,2013-03-04 08:00:00,985,6,9,985,0,0,0,0,0
232633627068_10151502140872069,"原來不是真的停，嚇我一跳！

富基魚市今熄燈　大龍蝦只賣700元
http://www.appledaily.com.tw/realtimenews/article/life/20130303/168703/",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151502140872069,2013-03-03 21:32:59,3428,40,76,3428,0,0,0,0,0
232633627068_10151501954217069,"嗯...外國人似乎對臭豆腐都會感興趣耶....

中荷之戰拍到臭豆腐　意外揚名國際
http://www.appledaily.com.tw/realtimenews/article/sports/20130303/168689/",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151501954217069,2013-03-03 19:06:14,7285,132,173,7285,0,0,0,0,0
232633627068_10151501633387069,,蘋果日報's cover photo,photo,https://www.facebook.com/232633627068/posts/10151501633387069,2013-03-03 15:16:46,2309,40,17,2309,0,0,0,0,0
232633627068_10151501573797069,"大家一起來〜
中華隊加油！！！
（照片翻攝自蔡阿嘎粉絲頁）",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151501573797069,2013-03-03 14:23:46,7054,53,240,7054,0,0,0,0,0
232633627068_10151501209062069,"今天還是一樣很冷，希望天氣能快點變暖啊...（抖）

《平地低溫淡水11度　明轉為乾冷》
http://www.appledaily.com.tw/realtimenews/article/life/20130303/168624",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151501209062069,2013-03-03 09:47:47,3022,52,103,3022,0,0,0,0,0
232633627068_10151498246672069,"噗嗤....這誤會可大了XDDDD

天外飛來一條內褲　男貼「失物招領」盼還清白
http://www.appledaily.com.tw/realtimenews/article/international/20130301/168403",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151498246672069,2013-03-01 17:05:45,1072,28,41,1072,0,0,0,0,0
232633627068_10151496544847069,"『.....劇中角色也許真能獲部分觀眾喜愛、滿足對不同政治立場人士的想像與情緒發洩；另一方透過主流媒體大力播送，卻也加深、擴大原本就不應存在、且十分可疑的「南、北差異」！但問題就出在，外交部竟打算讓這樣的角色原型，替捍衛釣魚台主權「代言」.......』

【論壇／文法錯亂的《阿宏開講》（洪浩唐）】
http://www.appledaily.com.tw/appledaily/article/headline/20130228/34857808",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151496544847069,2013-03-01 03:55:02,334,20,5,334,0,0,0,0,0
232633627068_10151496465102069,"靚編是真的對娘娘有點煩了啦...
但是看到這部蘋果自製惡搞影片下方
網友留言一致好評...
不推一下好像有點對不起製作團隊喔...


http://www.appledaily.com.tw/appledaily/article/entertainment/20130228/34857610
英文真煩版 娘與娘之歌：權力遊戲
The Game of Bitches

(旁白哥怎麼可以把英文說得跟中文一樣溜咧 妙哉妙哉)",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151496465102069,2013-02-28 16:32:16,1747,49,343,1747,0,0,0,0,0
232633627068_10151496319852069,"「廢除洋將薪資上限」真的為球迷帶來很多驚喜，連帶也會吸引更多觀眾，很慶幸中華職棒有想通這點.......

【拉米證實　3/7沒留在大聯盟　加盟義大犀牛】
http://www.appledaily.com.tw/appledaily/article/sports/20130228/34857328",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151496319852069,2013-02-28 14:14:32,2222,62,138,2222,0,0,0,0,0
232633627068_10151495103257069,"因為老翁、鄰居、網友、民眾........
才有這則滿載愛心的報導！

【男掛尿袋拾荒養弱智妻　鄰居募回收物】
http://www.appledaily.com.tw/realtimenews/article/life/20130227/168078",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151495103257069,2013-02-28 08:00:00,2690,13,167,2690,0,0,0,0,0
232633627068_10151494708777069,"生活，是一件很辛苦的事啊.......

【貪心吞樹蛙　過樹蛇大餐飛了】
http://www.appledaily.com.tw/appledaily/article/headline/20130227/34854551",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151494708777069,2013-02-28 05:00:01,872,19,61,872,0,0,0,0,0
